latitude,longitude
41.25161422,-70.08423199
41.25423286,-70.00480937
41.25866439,-70.13019167
41.25938055,-70.0974026
41.26053815,-70.04913323
41.26157703,-70.06906582
41.26157703,-70.06906582
41.26179198,-70.06548659
41.26203479,-69.96629681
41.26222135,-70.07245734
41.26240798,-69.96279372
41.26241415,-69.96281792
41.26243397,-69.96289564
41.26277752,-70.01531121
41.26277752,-70.01531121
41.26288414,-70.09984146
41.26288414,-70.09984146
41.26295222,-70.09987732
41.26332887,-70.0760532
41.26381916,-70.1306639
41.2639411,-70.07722638
41.26399016,-70.09462597
41.264195,-70.07770776
41.26538666,-70.10442178
41.26621426,-70.08137735
41.26622101,-70.03896221
41.26622101,-70.03896221
41.26622101,-70.03896221
41.26659645,-70.10415552
41.26669073,-70.08970353
41.26681964,-70.10067235
41.26698262,-70.10026305
41.26705729,-70.08289513
41.2671495,-70.08306121
41.26739518,-70.08470571
41.26751437,-70.08458295
41.26754352,-70.1038702
41.26782027,-70.08426789
41.26789665,-70.10246644
41.26842231,-70.09992371
41.26879954,-70.09730755
41.26889232,-70.08620778
41.26934745,-70.0868711
41.26942838,-70.1235767
41.27017602,-70.10260228
41.27105084,-70.08863916
41.27105084,-70.08863916
41.27110708,-70.08259094
41.27111157,-70.09074113
41.27139763,-70.0924956
41.27139763,-70.0924956
41.27139763,-70.0924956
41.27139763,-70.0924956
41.27269036,-70.09274429
41.27315145,-70.12165772
41.27339157,-70.07837911
41.27462041,-70.1191333
41.27666414,-70.11589164
41.27725116,-70.18705243
41.27834201,-70.09645911
41.27915287,-70.10670255
41.27962823,-70.09750013
41.27994423,-70.09781557
41.27994423,-70.09781557
41.28151015,-70.1146082
41.28162748,-70.10835839
41.28167263,-70.09773169
41.28174211,-70.14528497
41.28277315,-70.0996791
41.28279307,-70.13273411
41.28320448,-70.09780904
41.28338485,-70.09698658
41.28344971,-70.09857781
41.28346839,-70.09966764
41.2834834,-70.09847772
41.28368079,-70.1746365
41.28380991,-70.10114765
41.28384566,-70.10082878
41.2838969,-70.13699908
41.28391247,-70.09682068
41.28398025,-70.09646457
41.2841182,-70.10252578
41.28437054,-70.09817836
41.28437389,-70.1002749
41.28441646,-70.10260534
41.28450167,-70.14003352
41.28450167,-70.14003352
41.28497801,-69.97458548
41.28518077,-70.09965289
41.28568131,-70.09729209
41.28715649,-70.10260547
41.28741659,-70.10187688
41.28770165,-70.1006813
41.28896526,-70.05001016
41.28966459,-70.04766831
41.29599101,-70.01677764
41.29864417,-69.99863028
41.33867278,-70.75172635
41.34088904,-70.80633357
41.34653808,-70.83040386
41.35157097,-70.76343969
41.35484117,-70.50774244
41.35917409,-70.6908898
41.36257992,-70.68899334
41.36269722,-70.67588984
41.37620146,-70.7003554
41.38189081,-70.51741293
41.38234399,-70.68184266
41.38289408,-70.67396127
41.38329315,-70.66247097
41.38334959,-70.540975
41.38345649,-70.65680952
41.38407245,-70.62017083
41.38424997,-70.61764694
41.38425961,-70.63466621
41.38425961,-70.63466621
41.3842661,-70.6173015
41.38427766,-70.63491615
41.38439691,-70.51880788
41.38451609,-70.63852356
41.38508905,-70.66996326
41.3851519,-70.60944172
41.3852097,-70.60946169
41.3858521,-70.53918285
41.38589939,-70.54057697
41.38623584,-70.60159779
41.38641064,-70.54949023
41.38647831,-70.60012471
41.38647831,-70.60012471
41.38734746,-70.59373523
41.38765738,-70.56607914
41.38783739,-70.56798237
41.38783739,-70.56798237
41.38949425,-70.61121024
41.39009046,-70.51868852
41.39045657,-70.67733731
41.39051085,-70.5195878
41.39116243,-70.52901445
41.39188501,-70.52236205
41.39323374,-70.52529855
41.39353926,-70.52574224
41.39370616,-70.60434853
41.39441207,-70.52710827
41.39496789,-70.52897179
41.39569782,-70.53184224
41.39757951,-70.67684086
41.3981141,-70.5417799
41.39830197,-70.53250115
41.39855875,-70.54366039
41.39965044,-70.69673877
41.39975568,-70.53413213
41.40095579,-70.69147649
41.40164331,-70.5578345
41.4028393,-70.55518207
41.40371296,-70.55714777
41.40373287,-70.55719446
41.40435945,-70.5586201
41.40454711,-70.55905385
41.40496325,-70.55997122
41.4054593,-70.55357229
41.40731292,-70.67373283
41.411108,-70.57352405
41.41122632,-70.57373883
41.41506939,-70.66831043
41.41579741,-70.5829939
41.41625029,-70.6674749
41.41667621,-70.66719307
41.41735629,-70.66682823
41.41849694,-70.59303989
41.41957292,-70.64825052
41.42061558,-70.60095785
41.42092357,-70.6642063
41.42224315,-70.66097237
41.42530015,-70.68712044
41.42751395,-70.64200205
41.4289741,-70.6631439
41.43182733,-70.57475493
41.43265786,-70.55653553
41.43335022,-70.60818733
41.43335782,-70.6081856
41.44136761,-70.62974634
41.44168026,-70.60939173
41.44508846,-70.62098059
41.44512084,-70.60882577
41.4451714,-70.61804869
41.44538212,-70.58464477
41.44560841,-70.62818127
41.446107,-70.61494898
41.44646504,-70.59709686
41.44681742,-70.5747688
41.44693202,-70.62945366
41.44733102,-70.60761442
41.44741362,-70.61517442
41.44753537,-70.61502802
41.44833317,-70.5695788
41.44833743,-70.61396893
41.44839129,-70.6070831
41.449062,-70.56397705
41.44937128,-70.59838698
41.44998169,-70.61076465
41.45062038,-70.56626237
41.45080841,-70.60880247
41.45095236,-70.55970244
41.45135852,-70.60641622
41.45146932,-70.60657178
41.45147783,-70.60657217
41.45147783,-70.60657217
41.45191409,-70.6062074
41.45266423,-70.59830979
41.45266423,-70.59830979
41.45273928,-70.59852742
41.45302801,-70.60394568
41.45308221,-70.59928099
41.45308734,-70.59927371
41.45320148,-70.60377472
41.45362552,-70.60117806
41.45374458,-70.60215907
41.45374458,-70.60215907
41.45374458,-70.60215907
41.4539076,-70.60116969
41.45390972,-70.60120493
41.45391175,-70.60128914
41.45465253,-70.5757255
41.4547821,-70.56278691
41.45483308,-70.60581702
41.4549473,-70.60130735
41.45502269,-70.59393123
41.45547376,-70.60286955
41.45560277,-70.60288947
41.45735388,-70.5576274
41.45737815,-70.58862858
41.45743691,-70.55820555
41.45817176,-70.60580341
41.45846248,-70.56258643
41.45851193,-70.5566682
41.45856159,-70.58659803
41.45905456,-70.55702266
41.46034678,-70.61935272
41.46041955,-70.56900978
41.46062748,-70.57634862
41.46064522,-70.57610365
41.46223524,-70.58073482
41.46227352,-70.6105016
41.46544402,-70.57505717
41.46805907,-70.60859588
41.47506318,-70.61122297
41.49967296,-71.0364944
41.49967296,-71.0364944
41.49967296,-71.0364944
41.49967296,-71.0364944
41.50500423,-71.02259637
41.50805797,-71.02472917
41.51385317,-71.02859709
41.51462873,-71.06669897
41.51471129,-71.0664639
41.51609238,-70.65681245
41.51655151,-71.0295335
41.51828549,-71.07185353
41.52017474,-70.65499051
41.52117359,-70.65489152
41.52245514,-70.66320911
41.5227633,-70.66326894
41.52309711,-70.66961751
41.52309711,-70.66961751
41.52309711,-70.66961751
41.52330622,-70.66323451
41.52330622,-70.66323451
41.52330968,-70.66310639
41.52331257,-70.6633391
41.52334802,-70.66853545
41.52334802,-70.66853545
41.52334802,-70.66853545
41.52334802,-70.66853545
41.52349041,-70.66872059
41.52349041,-70.66872059
41.52351116,-70.66169715
41.52355252,-70.66629039
41.52358897,-70.66479229
41.52366635,-70.6696308
41.52375684,-70.66909922
41.52418869,-70.67005221
41.52465346,-70.67108422
41.52467621,-70.67113698
41.52471908,-70.66011353
41.52471908,-70.66011353
41.52536498,-70.67327296
41.52537927,-70.67271336
41.52700134,-70.67323409
41.52719694,-71.07318507
41.52740396,-71.07328981
41.52740396,-71.07328981
41.52740396,-71.07328981
41.52740396,-71.07328981
41.52740396,-71.07328981
41.52743877,-70.67471113
41.52786408,-71.03274734
41.5279327,-71.07113992
41.52865156,-71.12149392
41.53008461,-70.6584183
41.53063337,-71.02543788
41.53108406,-70.65699699
41.53322605,-70.65451056
41.53322605,-70.65451056
41.53520514,-70.6524742
41.53528193,-70.64290761
41.53686446,-70.65084826
41.5386244,-70.64945253
41.53873532,-70.63393297
41.53902011,-70.64929386
41.53902664,-71.12393432
41.5391381,-71.02973436
41.53970214,-71.02982015
41.54053906,-70.64888416
41.54187378,-70.95302519
41.54191196,-70.62358747
41.54237893,-71.01276854
41.54262118,-70.60414154
41.54293402,-70.605119
41.54326727,-70.60581454
41.54363911,-70.61571278
41.54371234,-70.59881317
41.54374126,-70.64847905
41.54376765,-70.64862266
41.54393819,-70.65642273
41.5440334,-70.60354563
41.54461553,-70.59782478
41.54461553,-70.59782478
41.5456091,-70.60133959
41.54576901,-70.60154905
41.54576901,-70.60154905
41.54581578,-70.64712112
41.54592021,-70.58702211
41.54593235,-70.58612568
41.54593235,-70.58612568
41.54603867,-71.12541837
41.54609444,-70.59209704
41.54637037,-70.59733597
41.54671533,-70.5943564
41.54679312,-71.12496827
41.5469485,-70.60020374
41.54702436,-70.58630983
41.54705105,-71.03731637
41.54744119,-70.58611887
41.54745253,-71.12553246
41.54827143,-70.61721881
41.54830086,-70.59288115
41.54851536,-70.60426481
41.5491147,-70.6169869
41.54944876,-70.60380857
41.54989049,-70.62575751
41.54989598,-70.64070333
41.5500414,-70.61132708
41.55010142,-70.64093669
41.55048841,-70.55181289
41.5505167,-70.55235531
41.55083842,-71.0697907
41.55148255,-70.56820758
41.55174113,-70.61706385
41.5518219,-70.56358343
41.55191557,-70.62623593
41.55193514,-70.62570858
41.55194713,-70.62618143
41.55201047,-70.564844
41.55203932,-70.6489625
41.55211574,-70.61496017
41.55211707,-70.61527983
